name,free_games
"GRANADO ESPADA",2
Surge,2
"Prey with Gun 带枪的猎物",1
"SKYBOX VR Video Player",1
"The Pirate: Plague of the Dead",1
"Icarus Six Sixty Six",1
"Major League Gladiators",1
"DYNASTY WARRIORS 9 真・三國無双８",1
Flora,1
"Highway Madness",1
"Here & Elsewhere",1
"Golden Hornet",1
"Dr. Frank's Build a Boyfriend",1
"Soccer Manager 2018",1
"Perceptions of the Dead",1
"Super Shoot Owl",1
"Bridge Trek",1
"The Mammoth: A Cave Painting",1
"High School Simulator",1
"Paintball War",1
Sprout,1
"Floresia I : Intemporel",1
"Comets Wake",1
"Félix VR",1
"Amaze: Interactive VR Movies",1
"Goblin Gearshop",1
"a Museum of Dubious Splendors",1
"Crusaders of Light",1
"A tractor",1
"DK Online",1
"Battle Tanks: Legends of World War II",1
Brew-Ha,1
"Blazing Core (beta)",1
"My Little Farmies",1
"EV3 - Drag Racing",1
"Moe! Ninja Girls",1
"VR Soccer Training",1
Logout,1
Orbos,1
"WIDE CROSS",1
"Project Rampage VR",1
blue.,1
"This Child Of Mine",1
Lucie,1
Scrunk,1
"Military Operations: Benchmark",1
"Frightened Beetles",1
"VR Benchmark Kanojo",1
Pivross,1
"Google Spotlight Stories: Back to the Moon",1
Telophase,1
"Shrinking Pains",1
Together,1
"North Stars",1
Obliteracy,1
"Women's Soccer Manager",1
"Ultimate Sudoku Collection",1
"Lost in Spice",1
"Idle Heist",1
"Nefertari: Journey to Eternity",1
"Artillery Cats",1
"Slime Kingdom",1
小游戏世界(中国版),1
"Wild West VR",1
"Azurael's Circle: Chapter 1",1
"MU Legend",1
"Somnium Space",1
Climb,1
"Battlerite Royale",1
"Google Spotlight Stories: Age of Sail",1
"Half-Life 2: Lost Coast",1
"Gumboy - Crazy Adventures™",1
"Bone: The Great Cow Race",1
"Grand Theft Auto",1
"Penumbra Overture",1
"Moonbase Alpha",1
"Gothic 1",1
"Memoir '44 Online",1
"Geneforge 3",1
EverQuest,1
"A Valley Without Wind",1
